level,semester,courses
100,First,"['PRINCIPLES OF PROGRAMMING', 'FUNDAMENTALS OF COMPUTING', 'INFORMATION SYSTEM', 'INTRO. TO FRENCH I', 'CALCULUS I', 'ACADEMIC WRITING AND COMMUNICATION SKILLS I', 'GHANAIAN AND AFRICAN STUDIES', 'STATISTICS']"
100,Second,"['PROGRAMMING WITH C++ [CONSOLE]', 'CALCULUS II', 'COMPUTER ETHICS', 'ACADEMIC WRITING AND COMMUNICATION SKILLS II', 'INTRO. TO COMPUTER SCIENCE', 'INTRO. TO FRENCH II', 'INTRO. TO DISCRETE MATHEMATICS', 'LINEAR ALGEBRA FOR SCIENTIST']"
200,First,"['DATA STRUCTURE AND ALGORITHMS', 'ANALYTICS READING AND REASONING', 'DIGITAL ELECTRONICS', 'DATABASE SYSTEMS', 'SYSTEM ANALYSIS AND DESIGN', 'FRENCH FOR GENERAL COMMUNICATION I', 'DATA COMMUNICATION AND COMPUTER NETWORKS']"
200,Second,"['COMPUTER ORGANIZATION AND ARCHITECTURE', 'ADVANCED DATABASE SYSTEM', 'PROGRAMMING WITH VISUAL BASIC.NET', 'SOFTWARE ENGINEERING', 'SCIENCE, TECHNOLOGY AND SOCIETY', 'FRENCH FOR GENERAL COMMUNICATION II']"
300,First,"['MICROPROCESSORS', 'DESIGN AND ANALYSIS OF ALGORITHM', 'OPERATING SYSTEM', 'PRORAMMING WITH APPLICATION USING JAVA', 'INTERNET COMPUTING', 'DATA MINING AND WAREHOUSE']"
300,Second,"['FINANCIAL MANAGEMENT', 'ARTIFICIAL INTELLIGENCE', 'THEORY OF PROGRAMMING LANGUAGES', 'HUMAN COMPUTER INTERACTION', 'WIRELESS AND AD HOC NETWORKS TECHNOLOGIES', 'INTRODUCTION TO ROBOTICS', 'RESEARCH METHODS IN COMPUTER SCIENCE']"
400,First,"['MOBILE COMPUTING', 'OPERATION RESEARCH', 'RESEARCH SEMINAR AND PROPOSAL WRITING', 'INDUSTRIAL ATTACHMENT', 'BUSINESS ECONOMICS FOR COMPUTER SCIENTIST', 'COMPUTER GRAPHICS']"
400,Second,"['RESEARCH PROJECT', 'COMPILER CONSTRUCTION AND TECHNIQUES', 'ENTREPRENEURSHIP FOR COMPUTER SCIENTIST', 'ELECTRONIC COMMERCE TECHNOLOGIES', 'SYSTEM ADMINISTRATION', 'FORMAL METHODS AND MODELS']"
